"","SalePrice","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SaleType","SaleCondition"
"1",208500,"60","RL",-0.118875317211424,-0.14112347817996,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",0.667269615883086,-0.477223093449934,1.05063379786737,0.878367122733124,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1.22448768083111,"Gd","TA","PConc","Gd","TA","No","GLQ",0.797263410932047,"Unf",-0.887271742479724,-0.403891079598834,"GasA","Ex","Y","SBrkr",-0.799349994556375,1.16983822893372,0.528350046611038,1.17517063648166,-0.240978466509052,0.796972968243514,1.28368827204804,0.170694724589144,"Gd",0.946055732714443,"Typ",-1.02698895085343,"Attchd",0.992065984643381,"RFn",0.273739541227567,0.383767345648802,"TA","TA","Y",-0.950010987430463,0.841531302419252,-1.69365012137611,0.139917773941369,"WD","Normal"
"2",181500,"20","RL",0.508133631647146,0.105571982378491,"Pave","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",-0.0421794726376995,2.01066096734306,0.156680025674322,-0.429429824620689,"Gable","CompShg","MetalSd","MetalSd","None",-0.821808876363197,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1.011117526609,"Unf",-0.43423913151257,0.508002395174757,"GasA","Ex","Y","SBrkr",0.429005066031839,-0.871155818929717,-0.382623724273092,-0.838578727297927,3.9474567847197,0.796972968243514,-0.773426569691033,0.170694724589144,"TA",-0.23454678737643,"Typ",0.783736098878231,"Attchd",-0.101506351746081,"RFn",0.273739541227567,-0.00460094868425379,"TA","TA","Y",1.21329851416919,-1.0709399586891,-0.444737988378689,-0.613572089781908,"WD","Normal"
"3",223500,"60","RL",0.0130022792737126,0.413578981926589,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",0.667269615883086,-0.477223093449934,0.984414999927141,0.829930198757056,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1.18715541930983,"Gd","TA","PConc","Gd","TA","Mn","GLQ",0.571135330230789,"Unf",-0.0480664852648404,-0.253700787416623,"GasA","Ex","Y","SBrkr",-0.568337836057277,1.17249385459383,0.658886139612923,1.17517063648166,-0.240978466509052,0.796972968243514,1.28368827204804,0.170694724589144,"Gd",-0.23454678737643,"Typ",0.783736098878231,"Attchd",0.91106062639231,"RFn",0.273739541227567,0.641769667262422,"TA","TA","Y",-0.950010987430463,0.668223870818768,0.987151736743589,0.139917773941369,"WD","Normal"
"4",140000,"70","RL",-0.347061772522835,0.0954567565658049,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",0.667269615883086,-0.477223093449934,-1.86299331150256,-0.720051368477092,"Gable","CompShg","Wd Sdng","Wd Shng","None",-0.821808876363197,"TA","TA","BrkTil","TA","Gd","No","ALQ",0.142238652955162,"Unf",0.18327475326629,-0.644585731018851,"GasA","Gd","Y","SBrkr",-0.429279849520366,1.14644086793386,0.540611791094693,1.17517063648166,-0.240978466509052,-1.02482170537396,-0.773426569691033,0.170694724589144,"Gd",0.389787243417268,"Typ",0.783736098878231,"Detchd",0.789552589015703,"Unf",1.75911354964528,0.785822603301809,"TA","TA","Y",-0.950010987430463,0.58433953304952,-1.69365012137611,-1.36840011125137,"WD","Abnorml"
"5",250000,"60","RL",0.663127505857677,0.876826752075719,"Pave","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",1.35046226437619,-0.477223093449934,0.951305600957028,0.733056350804922,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1.32838654128761,"Gd","TA","PConc","Gd","TA","Av","GLQ",0.750285542264666,"Unf",0.0774589749665652,0.254299549597031,"GasA","Ex","Y","SBrkr",0.124656024979822,1.20921575083936,1.28245451984502,1.17517063648166,-0.240978466509052,0.796972968243514,1.28368827204804,1.38239962614895,"Gd",1.44811864297226,"Typ",0.783736098878231,"Attchd",0.870557947266774,"RFn",1.75911354964528,1.58271591934404,"TA","TA","Y",1.07932566069432,0.991554868429222,1.96278610828061,0.139917773941369,"WD","Normal"
"6",143000,"50","RL",0.70117695275216,0.856787270809243,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",-0.782903446215014,-0.477223093449934,0.719539808166239,0.490871730924586,"Gable","CompShg","VinylSd","VinylSd","None",-0.821808876363197,"TA","TA","Wood","Gd","TA","No","GLQ",0.82021338299489,"Unf",-1.31282501416532,-0.547370335274919,"GasA","Ex","Y","SBrkr",-1.03351050892064,1.08942070655412,-0.154120248692889,1.17517063648166,-0.240978466509052,-1.02482170537396,1.28368827204804,-2.32389116957883,"TA",-0.947037233317007,"Typ",-1.02698895085343,"Attchd",0.587039193388025,"Unf",0.273739541227567,0.0848094611737192,"TA","TA","Y",0.566430777420309,0.51387906423538,1.31980535250846,0.892015953608611,"WD","Normal"
"7",307000,"20","RL",0.307671150441041,0.200930231378483,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",1.35046226437619,-0.477223093449934,1.08374319683748,0.975240970685258,"Gable","CompShg","VinylSd","VinylSd","Stone",1.2143905014809,"Gd","TA","PConc","Ex","TA","Av","GLQ",1.24924545033537,"Unf",-0.341445616000986,1.38103889444946,"GasA","Ex","Y","SBrkr",1.33578677011232,-0.871155818929717,0.500134827693468,1.17517063648166,-0.240978466509052,0.796972968243514,-0.773426569691033,0.170694724589144,"Gd",0.389787243417268,"Typ",0.783736098878231,"Attchd",1.03256866376892,"RFn",0.273739541227567,0.760508074359772,"TA","TA","Y",1.16630649431154,0.809891044524919,0.645803668048188,-0.613572089781908,"WD","Normal"
"8",2e+05,"60","RL",0.619274327159158,0.257460156871363,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",0.667269615883086,0.440400472514585,0.057351828763984,-0.574740596548891,"Gable","CompShg","HdBoard","HdBoard","Stone",1.26239507463761,"TA","TA","CBlock","Gd","TA","Mn","ALQ",0.924058710805965,"BLQ",-0.645350776655634,0.170470456817756,"GasA","Ex","Y","SBrkr",0.0185299457983147,1.1963987663451,1.13102256231222,1.17517063648166,-0.240978466509052,0.796972968243514,1.28368827204804,0.170694724589144,"TA",0.389787243417268,"Typ",1.63788722614665,"Attchd",-0.223014389122688,"RFn",0.273739541227567,0.102606543766305,"TA","TA","Y",1.14145697802662,1.41307827662931,1.64474974582165,0.892015953608611,"WD","Normal"
"9",129900,"50","RM",-0.788499048649839,-0.76051980236805,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",0.667269615883086,-0.477223093449934,-1.33324292798075,-1.68878984799844,"Gable","CompShg","BrkFace","Wd Shng","None",-0.821808876363197,"TA","TA","BrkTil","TA","TA","No","Unf",-1.35269949819096,"Unf",0.907664216500214,-0.179631000734795,"GasA","Gd","Y","FuseF",-0.23381075200234,1.14541435475196,0.638646553845738,-0.838578727297927,-0.240978466509052,0.796972968243514,-0.773426569691033,-1.0621133851844,"TA",0.946055732714443,"Min1",1.63788722614665,"Detchd",-1.92412691239518,"Unf",0.273739541227567,0.0312493564354958,"Fa","TA","Y",0.838195455245538,-1.0709399586891,-0.837792285242915,0.139917773941369,"WD","Abnorml"
"10",118000,"190","RL",-0.840348642357027,-0.391441879322023,"Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",-0.782903446215014,0.440400472514585,-1.06836773621985,-1.68878984799844,"Gable","CompShg","MetalSd","MetalSd","None",-0.821808876363197,"TA","TA","BrkTil","TA","TA","No","GLQ",0.917879781750722,"Unf",-0.928520576400269,-0.0902278285734833,"GasA","Ex","Y","SBrkr",-0.0680686148415396,-0.871155818929717,-0.857272257143387,1.17517063648166,-0.240978466509052,-1.02482170537396,-0.773426569691033,-1.0621133851844,"TA",-0.947037233317007,"Typ",1.63788722614665,"Attchd",-1.6001054793909,"RFn",-1.04756738100353,-1.22833060414401,"Gd","TA","Y",-0.950010987430463,-0.336054348974129,-2.17603152150799,0.139917773941369,"WD","Normal"
